trial,max_depth,max_depth_order,min_samples_split,min_samples_leaf,criterion,class_weight,tree_depth,leaf_count,params,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_roc_auc_mean,running_best_accuracy,running_best_f1,running_best_roc_auc,rank
110,5,5,10,1,gini,balanced,5,21,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8047867625332416,0.013404503304934277,0.7474551179814337,0.8402876333871632,0.8188811188811188,0.7474551179814337,0.8529839539596594,51
6,3,3,20,5,gini,None,3,7,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 20}",0.8047769132276175,0.011169407879119155,0.7178041302565379,0.8361930432855198,0.8061853639318428,0.7179722342621878,0.8361930432855198,52
7,3,3,2,10,gini,None,3,7,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 2}",0.8047769132276175,0.011169407879119155,0.7178041302565379,0.8361930432855198,0.8061853639318428,0.7179722342621878,0.8361930432855198,53
8,3,3,10,10,gini,None,3,7,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 10}",0.8047769132276175,0.011169407879119155,0.7178041302565379,0.8361930432855198,0.8061853639318428,0.7179722342621878,0.8361930432855198,54
9,3,3,20,10,gini,None,3,7,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 20}",0.8047769132276175,0.011169407879119155,0.7178041302565379,0.8361930432855198,0.8061853639318428,0.7179722342621878,0.8361930432855198,55
3,3,3,20,1,gini,None,3,7,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.8047769132276175,0.011169407879119155,0.7178041302565379,0.8357384978309744,0.8061853639318428,0.7179722342621878,0.8357384978309744,56
48,3,3,20,1,entropy,None,3,7,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.8047769132276175,0.011169407879119155,0.7178041302565379,0.8308073683543903,0.8160149709445484,0.7423774299563745,0.8529839539596594,57
51,3,3,20,5,entropy,None,3,7,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 20}",0.8047769132276175,0.011169407879119155,0.7178041302565379,0.8308073683543903,0.8160149709445484,0.7423774299563745,0.8529839539596594,58
52,3,3,2,10,entropy,None,3,7,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 2}",0.8047769132276175,0.011169407879119155,0.7178041302565379,0.8308073683543903,0.8160149709445484,0.7423774299563745,0.8529839539596594,59
53,3,3,10,10,entropy,None,3,7,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 10}",0.8047769132276175,0.011169407879119155,0.7178041302565379,0.8308073683543903,0.8160149709445484,0.7423774299563745,0.8529839539596594,60
54,3,3,20,10,entropy,None,3,7,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 20}",0.8047769132276175,0.011169407879119155,0.7178041302565379,0.8308073683543903,0.8160149709445484,0.7423774299563745,0.8529839539596594,61
49,3,3,2,5,entropy,None,3,8,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.8047769132276175,0.011169407879119155,0.7178041302565379,0.8300577351361051,0.8160149709445484,0.7423774299563745,0.8529839539596594,62
50,3,3,10,5,entropy,None,3,8,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.8047769132276175,0.011169407879119155,0.7178041302565379,0.8300577351361051,0.8160149709445484,0.7423774299563745,0.8529839539596594,63
4,3,3,2,5,gini,None,3,8,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.8047769132276175,0.011169407879119155,0.7164165261862326,0.8358359720507057,0.8061853639318428,0.7179722342621878,0.8358359720507057,64
5,3,3,10,5,gini,None,3,8,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.8047769132276175,0.011169407879119155,0.7164165261862326,0.8358359720507057,0.8061853639318428,0.7179722342621878,0.8358359720507057,65
121,6,6,2,5,gini,balanced,6,29,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.803427558357136,0.025479919503408527,0.7413764039702739,0.8459538831364851,0.8188811188811188,0.7551505161389198,0.8529839539596594,66
122,6,6,10,5,gini,balanced,6,29,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.803427558357136,0.025479919503408527,0.7413764039702739,0.8459538831364851,0.8188811188811188,0.7551505161389198,0.8529839539596594,67
24,5,5,20,5,gini,None,5,18,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 20}",0.803398010440264,0.012889667019690085,0.7201221785881804,0.8423329428031622,0.8132276174529697,0.7270785097446646,0.8529839539596594,68
42,None,999,20,5,gini,None,15,53,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 20}",0.8033881611346402,0.005667297645292489,0.7384121265997672,0.8422929926221462,0.8160149709445484,0.7423774299563745,0.8529839539596594,69
69,5,5,20,5,entropy,None,5,18,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 20}",0.8033881611346401,0.011446766214584405,0.7200323428340409,0.839637506200986,0.8160149709445484,0.7423774299563745,0.8529839539596594,70
